 ****     -80.000     -70.000     -60.000     -50.000     -40.000     -30.000     -20.000     -10.000       0.000      10.000      20.000      30.000      40.000      50.000      60.000      70.000      80.000      90.000     100.000     110.000     120.000     130.000     140.000     150.000     160.000     170.000     180.000     190.000     200.000     210.000     220.000     230.000     240.000     250.000     260.000     270.000     280.000     290.000     300.000     310.000     320.000     330.000     340.000     350.000     360.000     370.000     380.000     390.000     400.000     410.000     420.000     430.000     440.000     450.000     460.000     470.000     480.000     490.000     500.000
 
    1   0.000E+00  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01
   17   0.102E+23  -0.212E+22   0.350E+22  -0.156E+23   0.500E+23  -0.117E+24   0.208E+24  -0.285E+24   0.303E+24  -0.250E+24   0.159E+24  -0.764E+23   0.269E+23  -0.655E+22   0.984E+21  -0.689E+20   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+18   0.149E+20  -0.116E+21   0.554E+21  -0.184E+22   0.447E+22  -0.825E+22   0.117E+23  -0.130E+23   0.112E+23  -0.741E+22   0.373E+22  -0.137E+22   0.351E+21  -0.554E+20   0.409E+19
 
   18   0.133E+24  -0.583E+23   0.195E+24  -0.671E+24   0.172E+25  -0.337E+25   0.514E+25  -0.616E+25   0.583E+25  -0.434E+25   0.251E+25  -0.111E+25   0.361E+24  -0.818E+23   0.115E+23  -0.758E+21   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+19  -0.159E+21   0.132E+22  -0.681E+22   0.245E+23  -0.649E+23   0.132E+24  -0.208E+24   0.259E+24  -0.254E+24   0.197E+24  -0.119E+24   0.547E+23  -0.186E+23   0.441E+22  -0.651E+21   0.450E+20
 
   19   0.205E+25  -0.259E+25   0.885E+25  -0.246E+26   0.527E+26  -0.885E+26   0.118E+27  -0.126E+27   0.107E+27  -0.728E+26   0.387E+26  -0.158E+26   0.479E+25  -0.102E+25   0.134E+24  -0.834E+22   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+20   0.169E+22  -0.150E+23   0.826E+23  -0.320E+24   0.919E+24  -0.203E+25   0.353E+25  -0.487E+25   0.539E+25  -0.477E+25   0.335E+25  -0.185E+25   0.788E+24  -0.249E+24   0.550E+23  -0.761E+22   0.495E+21
 
   20   0.484E+26  -0.117E+27   0.344E+27  -0.797E+27   0.146E+28  -0.215E+28   0.256E+28  -0.246E+28   0.191E+28  -0.119E+28   0.584E+27  -0.222E+27   0.629E+26  -0.125E+26   0.156E+25  -0.917E+23   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+21  -0.179E+23   0.168E+24  -0.991E+24   0.411E+25  -0.127E+26   0.304E+26  -0.576E+26   0.876E+26  -0.108E+27   0.107E+27  -0.860E+26   0.554E+26  -0.283E+26   0.112E+26  -0.329E+25   0.682E+24  -0.886E+23   0.544E+22
 
   21   0.170E+28  -0.472E+28   0.118E+29  -0.234E+29   0.377E+29  -0.493E+29   0.528E+29  -0.462E+29   0.329E+29  -0.189E+29   0.864E+28  -0.307E+28   0.817E+27  -0.153E+27   0.181E+26  -0.101E+25   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+22   0.189E+24  -0.188E+25   0.118E+26  -0.520E+26   0.172E+27  -0.444E+27   0.911E+27  -0.151E+28   0.204E+28  -0.225E+28   0.204E+28  -0.150E+28   0.892E+27  -0.423E+27   0.156E+27  -0.430E+26   0.838E+25  -0.103E+25   0.599E+23
 
